,SizeRank_x,unemployment_rate_x,MORTGAGE30US_x,Avg Income_x,Prediction,Actual,ZIP
13776,9006,6.4,3.66,67447.30679156909,212585.70142536834,193851.1667,66043
20669,1986,6.7,3.98,79908.17382307294,211124.2454964263,187883.3333,43147
8514,3749,10.6,3.66,66694.35215946844,268535.8018751726,285726.5417,8050
53943,7952,6.9,3.65,70159.77443609023,159343.00842304918,138666.6667,61523
23641,2912,7.9,3.98,53188.67924528302,198112.77196168414,195170.8333,80907
24191,2828,9.8,3.98,32529.761904761905,219546.41427046113,216074.9167,90220
29716,2223,5.4,4.17,129231.48724331053,374608.3353477818,334875.0,37922
23943,542,6.6,3.98,112325.12590934527,420073.6719765128,336246.0833,85383
21535,2408,4.7,3.98,72149.39987365763,216320.55944021698,196845.8333,53719
31466,3785,3.2,4.17,66686.22848200312,237014.91238386487,241433.3333,59404
26483,5673,5.6,4.17,39967.494089834516,91113.15605274048,86008.25,13206
17949,3132,6.9,3.98,54240.48556430447,174293.70867164462,177024.9167,21237
10029,3390,6.1,3.66,80854.29314830876,256186.54697435486,268784.5833,27278
20353,7400,11.9,3.98,49778.761061946905,146648.66672909042,144154.1667,38668
36435,6769,4.7,3.85,101611.88369152973,336150.8046463795,315967.2727,12019
24648,7663,7.5,3.98,143286.65568369027,569395.9932087504,628716.6667,94517
16431,10176,5.2,3.98,61830.357142857145,259620.0686392488,265300.0,5250
11046,4304,11.0,3.66,45861.58192090396,113350.17264829579,95252.08333,32960
29469,6895,9.1,4.17,49955.4367201426,153698.99986320216,146470.8333,36078
25801,3514,7.0,4.17,46789.29765886287,202041.8624680605,249633.3333,7208
42576,4197,6.2,3.85,51735.092864125116,131995.84225811381,126966.6667,63801
47913,6169,7.1,3.65,51891.334250343876,154953.43933172026,142818.75,17745
32968,997,5.0,4.17,31179.337231968813,100577.01049959997,99393.75,77072
7921,9168,7.1,3.66,112438.87530562347,433500.49167069764,469983.3333,1949
25427,3242,4.6,4.17,79177.23525681674,281881.3420714916,303787.5,3079
7316,2535,9.1,4.45,35063.381854733634,222146.84712677565,248316.6667,92707
6049,823,6.7,4.45,73383.17021590518,187269.4785515251,174683.25,75080
57845,7403,6.0,3.65,75826.92307692308,271179.10741537565,273666.6667,98360
25004,1103,5.1,3.98,62173.96109637489,278992.2175607121,314046.0,98118
51884,498,4.1,3.65,37319.758378799685,144132.8128267401,125845.8333,43229
1066,7331,7.5,4.45,63533.74885983582,220246.72107213704,240798.875,12538
16525,9488,6.7,3.98,111092.03296703297,356083.3671817456,350983.3333,6422
3512,3226,7.9,4.45,40489.539176808416,111552.02046386946,105888.1667,37086
33028,7981,5.1,4.17,60927.50533049041,221101.02048810542,242279.125,77423
41817,7079,4.0,3.85,72436.75099866845,219766.7911656768,203491.6667,55398
50739,6585,5.3,3.65,55879.44664031621,187961.85099141172,197117.9167,33980
15501,983,11.4,3.66,59129.33684672816,184630.22547531413,186416.625,92346
1762,3842,4.8,4.45,100403.17293824573,358919.68080556236,370462.0833,22310
29424,6830,6.1,4.17,85349.85422740526,217421.57031172383,198554.1667,35757
36457,10033,5.8,3.85,47774.869109947635,168103.77508253147,134424.9167,12122
40579,1166,5.2,3.85,40793.83282364933,83006.04799726015,70508.33333,44111
40989,4307,6.3,3.85,52570.82896117523,163270.14914347054,167187.7083,47404
52180,2220,4.9,3.65,109526.23906705539,300419.98715450434,281908.75,45458
37546,2450,4.3,3.85,144337.81190019194,468436.0903926455,463926.25,23059
15801,2495,7.6,3.66,65017.471410419326,251690.15513631224,283566.6667,97213
50663,5028,4.3,3.65,63689.77673325499,230405.45912079193,216979.1667,33774
45022,2992,6.6,3.85,87334.03741701871,495341.7145576917,544914.5833,91773
5503,7328,6.9,4.45,77458.98100172712,218545.8906959801,197670.8333,64079
36524,10293,5.4,3.85,90873.01587301587,251985.21872889902,213962.5,12775
37089,5368,4.9,3.85,30516.581632653066,55830.05645024033,48387.08333,19604
48007,9914,6.2,3.65,55364.80686695279,145172.23303519704,139495.8333,18610
20977,1452,7.4,3.98,62038.01478352692,139944.82544641654,132045.8333,46140
54126,6955,4.2,3.65,55457.74647887324,158740.43080961113,155654.1667,63383
6252,201,7.8,4.45,86524.3075731164,188687.54878842784,161092.2083,77095
49900,7815,7.8,3.65,44610.609480812636,127234.76704119254,124816.6667,30436
32345,4527,5.7,4.17,98753.339269813,258599.78784698393,241663.1667,70448
45875,1093,4.3,3.85,110937.5,656362.7911484232,788475.0,98105
15165,116,6.8,3.66,62093.94610557401,198779.5530934009,198476.6667,87114
2106,1606,12.3,4.45,44926.13850207,130549.57520249794,119295.8333,27320
35398,5418,5.5,3.85,132782.2990844354,441618.0773755263,445216.6667,2818
40148,2309,5.3,3.85,70650.77319587629,206836.58745448932,195295.5417,39042
6152,2996,6.9,4.45,79306.49241146713,229810.35769694022,218744.375,76049
6227,3017,7.8,4.45,136000.5950862875,443320.8226100971,490729.1667,77019
54339,2221,4.3,3.65,60502.32095490716,158464.0490455169,136862.5,66048
48831,5451,3.6,3.65,54468.3257918552,170279.8712872058,172701.875,24179
26735,429,4.6,4.17,59912.182361733925,202338.65831129928,173215.0,17331
28210,770,5.3,4.17,70583.83233532934,184824.11599590728,180551.875,29607
52992,4050,3.4,3.65,40248.69109947643,131402.77100815953,110424.9167,53225
51581,7581,5.0,3.65,48995.32710280374,132660.13340674073,128850.0,40033
49344,406,4.7,3.65,68853.35073977371,213322.86089167066,203884.5833,28601
30563,9325,5.4,4.17,51702.78637770899,105783.24605691628,93397.91667,46996
6584,4678,9.9,4.45,49661.44876973925,152950.5157939279,145037.5,80249
12162,3465,6.8,3.66,35794.117647058825,95137.90635932011,62429.16667000001,44135
44525,1567,5.1,3.85,86920.13705851344,273267.36961864476,268678.3333,85296
19283,5186,12.8,3.98,53963.051251489866,155282.12501093568,131945.4545,31069
22014,4044,7.4,3.98,66024.49223416965,216671.84417660598,228662.5,60185
19723,6344,6.6,3.98,52700.831024930754,167469.21067095175,187555.8333,33616
43855,5594,3.8,3.85,42002.61780104712,150082.69693479812,161497.4167,78222
51789,9352,4.9,3.65,44450.67264573991,162394.84261660368,169219.6364,42544
31253,3064,3.6,4.17,77829.9120234604,234898.75755718938,231775.3333,55016
7662,2125,7.9,4.45,73131.17604001464,263710.6418050403,283340.6667,98056
52520,1032,6.3,3.65,114927.51955821445,350503.5236287002,326712.5,48170
33081,1373,5.1,4.17,94969.66019417476,240095.08533024995,233884.0417,77581
38095,3179,5.4,3.85,107729.41680960552,367601.00748338527,378225.0,28209
57242,6215,7.6,3.65,75628.20512820513,444681.8964011985,562732.8333,93907
23045,3899,6.6,3.98,90640.70351758793,276853.08306415426,262878.6667,75218
40034,2706,6.4,3.85,44701.68374816983,174454.34667859663,182879.1667,37876
38900,8246,5.8,3.85,200059.1016548464,618096.3939863972,540270.8333,31411
49815,1549,6.8,3.65,48058.00103573279,170437.98522303754,175308.25,30228
48905,6667,4.4,3.65,60590.523338048086,188765.2038916732,183691.625,25427
4931,4137,5.8,4.45,89380.61819902224,230694.17152019058,216654.1667,55378
44008,5206,2.9,3.85,72916.66666666669,222540.4149523428,218118.75,79015
9807,1908,7.8,3.66,49576.51869158878,150744.00240808775,155933.3333,23231
37179,4861,3.6,3.85,125525.1024590164,442573.26918918797,397716.25,20190
9745,9853,5.6,3.66,110513.56589147287,406702.9139857911,424954.1667,22936
38139,4787,8.5,3.85,43714.36716077537,129030.8361765223,127616.5833,28352
36514,2215,4.5,3.85,81023.84868421053,258831.76410551887,262637.5,12590
24170,111,9.8,3.98,48884.07193320488,539567.3797793823,677579.1667,90026
29257,9104,8.6,4.17,46473.214285714275,152336.53309784702,149858.3333,34433
34898,7081,7.8,4.17,47448.97959183674,223008.47107880405,262962.0833,97367
23281,4,5.5,3.98,167934.02292423818,379858.0420818,326463.75,77494
35400,4372,5.5,3.85,91868.33470057424,321872.78761658067,332779.1667,2852
44533,4850,5.1,3.85,51431.469792605945,180923.44242041226,189281.0,85306
35233,2212,5.1,3.85,126151.59128978224,427736.4576127434,416054.0833,1545
7991,1548,8.7,3.66,39693.344334433445,163070.7818045193,160866.6667,2740
10325,1989,10.9,3.66,50825.471698113215,166796.17289048887,149612.5,28625
10655,3423,9.8,3.66,53667.840375586864,176042.50642662577,159704.1667,30240
57447,9437,4.5,3.65,76315.78947368421,348679.15575205005,378975.0,95631
12231,7442,7.5,3.66,64816.17647058825,177170.35828331223,158218.75,44721
51210,2602,3.7,3.65,45932.810368349245,150747.89440787202,151293.9583,37160
48506,3670,3.3,3.65,126984.55459770115,458174.98305199994,465342.75,22315
7707,6046,9.1,4.45,71779.30122494433,327471.6679769823,348889.5833,98282
6903,5575,14.8,4.45,47081.65322580645,203713.010802437,211818.0,85901
21149,3282,11.5,3.98,56755.85284280936,116977.35406252903,84141.66667,48101
41714,9392,4.2,3.85,82896.70658682635,298770.5275691054,286643.75,55013
19947,7130,6.7,3.98,42544.73161033797,132745.54593696963,129158.3333,35077
37112,2310,5.4,3.85,55110.454262601124,195384.2029772661,195864.5833,19904
28960,2960,6.7,4.17,29745.62976243837,129197.80920342493,130108.3333,33055
35373,9940,6.1,3.85,74013.15789473684,476040.96982980234,529154.1667,2667
10090,4477,8.4,3.66,85381.61057692308,238558.5263575636,215091.2083,27527
53619,6776,6.0,3.65,39848.562628336746,114233.18425437306,120962.5,60104
42215,5720,6.2,3.85,54089.50617283951,150028.94512472485,119687.5,60473
12616,9742,11.4,3.66,36773.25581395349,107469.87751824537,99499.5,48739
10884,2946,9.9,3.66,81851.41509433962,284915.67208314844,290645.8333,32080
5506,7653,8.9,4.45,76024.28964252981,196170.28682919996,183775.0,64089
42404,3043,6.8,3.85,44865.29041287613,104921.16413352145,77854.16667,61604
46557,9559,5.1,3.65,92035.06097560977,259682.71275304665,215441.6667,6335
31504,1378,6.8,4.17,177672.73576097106,573293.0096132034,564499.7917,60010
55625,7273,3.7,3.65,121987.61261261262,443468.758148125,464500.0,78256
11527,4659,9.2,3.66,46461.07178968655,122739.64764879085,119393.75,36582
54057,5553,6.4,3.65,50509.361233480166,127950.04389746548,121195.8333,63020
46894,10350,4.1,3.65,215091.46341463414,1389359.604696804,1359291.667,7931
5512,6787,9.5,4.45,36854.57113693489,104036.00249317667,91208.33333,64117
50309,422,4.3,3.65,76072.85429141718,258766.28406740158,242084.9,32608
31240,6947,4.8,4.17,58875.73964497043,144265.81673295022,126366.6667,54961
11,8730,9.3,4.45,54769.8974609375,182406.47158443104,183504.1667,1069
50176,5748,4.9,3.65,45761.873350923466,167984.4113557912,183170.8333,32060
17454,6369,7.0,3.98,52779.64959568733,147247.47454447148,138029.1667,15501
8894,8730,7.1,3.66,130928.73831775704,368947.90911863965,344587.5,12159
8788,869,8.3,3.66,38823.32722273144,289722.2730287783,309495.7083,11691
16538,1197,8.5,3.98,81890.5472636816,300662.43989436136,296458.4583,6460
55071,9909,3.8,3.65,145659.72222222222,504275.77032100153,464234.1667,75182
38979,2457,4.0,3.85,98930.97643097644,332313.9420221889,278550.8333,32092
11841,8941,10.2,3.66,49226.006191950466,170047.45165813234,171208.3333,39573
25615,7108,6.8,4.17,87868.92361111111,287965.399373287,290704.1667,6357
17075,795,7.7,3.98,41898.9687399291,302510.22120728926,350482.375,11434
4808,3302,7.5,4.45,46577.4647887324,132473.92838172434,125000.0,54481
2481,1290,9.2,4.45,35308.588064046584,109892.79532904101,97077.08333,29210
53911,3416,6.4,3.65,51067.74668630338,110332.28188972843,87337.5,61108
46640,10110,4.9,3.65,127272.72727272725,477143.4355443973,476408.3333,6784
25381,4372,7.2,4.17,89671.65419783872,301699.4199266502,320642.8333,2852
6209,853,7.7,4.45,37565.80346697862,131937.62819231997,121850.0,76549
17237,5956,6.7,3.98,61354.289071680374,208103.72239374806,222237.5,12508
18616,1412,7.6,3.98,38547.68786127168,140485.11459398965,147083.3333,28213
47537,3607,4.2,3.65,56294.24778761061,129565.507706833,125843.75,13045
41315,3130,3.8,3.85,34157.16096324461,92001.76889829013,77022.91667,49507
57876,2077,7.5,3.65,78887.52304855562,312363.0060594622,309412.0,98502
8344,650,7.7,3.66,35032.225237449115,199958.2356066145,208645.7917,7055
30408,347,9.1,4.17,50768.24583866837,126875.14935348117,118312.5,45601
49281,5890,5.0,3.65,84746.06580829757,305841.1562218566,319915.5,28387
44757,3489,6.8,3.85,87401.15025161754,321294.9378145803,299022.625,89141
33801,278,6.0,4.17,28393.961008083686,115656.44642130016,117303.9583,85705
42176,5524,6.2,3.85,74137.93103448275,170018.97596878774,128062.5,60430
36926,8069,6.6,3.85,53343.023255813954,112054.75195633344,89282.91667,18324
29052,558,5.9,4.17,70097.11037423022,215193.34031861386,201137.5,33436
16216,3665,6.2,3.98,94830.96085409253,370838.88804123306,393383.3333,2132
26893,5520,5.5,4.17,56770.3109327984,140539.3181728556,127637.5,19061
18736,8532,9.2,3.98,45373.13432835821,178330.03062490106,205820.8333,28694
5266,4186,10.6,4.45,72318.33212355836,215362.2918419942,183007.5,60544
29994,3047,8.7,4.17,45782.424812030076,138593.84893616688,130154.1667,40701
53639,3744,6.0,3.65,50751.51682294539,171407.9339239574,177991.6667,60133
38049,7676,7.5,3.85,89894.85981308413,436293.2674086475,488043.7083,27949
7749,3461,10.1,4.45,59674.25742574258,206177.90842333343,210289.5833,98498
4900,1023,6.8,4.45,69281.31659957378,188324.97090137808,158524.5833,55112
15112,1707,7.4,3.66,59624.45003142678,186020.24486510077,176529.1667,85745
49736,510,4.6,3.65,89265.90236686391,284608.21753815265,280557.0833,30101
42858,4258,3.3,3.85,58203.48304307977,160951.69157520824,135729.1667,68106
24302,2127,9.8,3.98,121130.20176544768,807672.1979032975,960162.4583,91604
57940,5439,5.0,3.65,55581.761006289315,205710.92597071006,218245.25,99004
39024,1143,4.0,3.85,119556.65024630545,369608.63729045156,320694.9583,32259
28906,967,6.7,4.17,50993.3774834437,196606.07751099032,207766.6667,32837
5167,1592,8.2,4.45,64326.34938254474,195504.2867338334,187256.2083,60188
3564,5528,12.0,4.45,43234.96290408055,141124.5993257314,142970.8333,37321
30426,7806,4.1,4.17,111712.59842519683,355334.1674291058,359117.0833,46040
12969,5048,6.7,3.66,75781.25,235302.25354112923,227600.0,54904
4564,1775,10.4,4.45,44382.801664355065,117430.30846202692,84583.33333,49221
44374,8692,3.5,3.85,115665.23605150214,1727680.3166300133,2176666.667,84060
