,SizeRank,unemployment_rate,MORTGAGE30US,Avg Income,Prediction,Actual
23069,3275,6.4,3.98,48524.237685691936,169221.02360448855,178593.75
49671,277,5.4,3.65,88629.69989651606,477568.5584595631,483387.5
45736,1843,5.1,3.85,51745.6533931576,258172.5863756342,270420.4167
16823,5015,9.4,3.98,49453.352769679295,162553.6473141778,160030.75
27595,1484,5.2,4.17,49193.548387096766,180298.80033542778,171279.1667
29483,5277,8.0,4.17,47651.116951379765,147933.6168721233,143954.1667
478,9511,10.8,4.45,76928.79296975963,464592.4186796022,524229.1667
23302,1497,6.9,3.98,56144.87249050461,189462.7269711552,164276.625
33341,2424,4.9,4.17,30470.588235294126,154449.51884173971,163077.0833
47841,6362,6.5,3.65,41415.84766584767,108136.2464434821,90683.33333
16840,1141,9.4,3.98,61530.545927209714,190348.7307644035,164340.8333
21966,6622,8.7,3.98,71562.12303980699,241599.91916014365,230133.3333
6829,390,8.6,4.45,43436.97390572391,127598.93637350744,124764.5833
42823,8414,4.8,3.85,102275.0,450687.6585803993,301109.25
11453,8872,6.9,3.66,65534.68208092485,204429.2435809705,165433.3333
49566,2870,5.0,3.65,48544.381107491856,163273.25608979596,138350.0
8488,4598,10.7,3.66,62488.888888888876,222878.14529871952,213466.6667
23908,5831,6.6,3.98,90409.83606557376,422568.8597026643,396479.0833
51510,1028,4.5,3.65,33371.842267406035,110768.15199649974,106416.6667
2921,5325,11.2,4.45,51232.707848239974,178176.07316627228,178575.0
52100,8307,4.2,3.65,63389.513108614236,223568.83401816853,200682.0833
57702,8956,6.3,3.65,42434.21052631579,152064.1416120247,162983.3333
38709,8565,5.7,3.85,38530.585106382976,122906.53913323763,120070.8333
240,8978,4.9,4.45,60478.49091327353,225746.01934751243,222175.0
42246,6797,6.2,3.85,110931.79049939099,831879.9539133994,905408.0
34080,1246,8.3,4.17,68319.05781584582,498504.9967774522,539854.1667
27939,10152,7.4,4.17,46019.108280254775,168982.82379726565,167766.25
2006,3507,7.2,4.45,31536.612426035503,106807.90707923034,104433.3333
12012,4437,9.4,3.66,47790.05524861879,161050.56256147497,177816.6667
48623,2050,3.9,3.65,72472.52747252746,330467.4519424261,295792.9167
33172,7847,6.2,4.17,53599.77324263039,158805.463016409,134844.3333
12517,2586,9.8,3.66,35953.362944162436,66215.64750924928,36420.83333
5373,3043,9.2,4.45,39030.71500503525,94307.80883614127,86324.16667
36362,4975,4.7,3.85,62984.30193720776,301412.12234810734,341990.5417
24888,2013,8.8,3.98,39538.04347826087,143038.11670247265,159662.5
50768,1650,4.7,3.65,97563.41789052072,772315.7924314004,672075.0
36522,9324,5.4,3.85,45567.37588652482,114162.69834513984,104945.8333
19137,9304,8.7,3.98,48491.379310344826,165374.30347140064,155633.3333
41855,4889,6.5,3.85,55121.436114044336,189837.12262602543,169241.6667
55820,3079,3.7,3.65,42994.71299093656,112359.76193985027,100624.9583
37832,10537,6.1,3.85,48611.111111111124,244628.7757803986,242708.3333
45927,2361,5.6,3.85,55840.306834030685,224351.67518710665,219974.6667
48553,2739,3.6,3.65,58474.1550695825,260913.30379807999,259918.9583
5765,5075,7.3,4.45,51014.20746319754,177758.3589711897,166195.8333
30737,5459,6.5,4.17,80619.46902654867,339130.74113307125,300337.5
32496,1771,5.4,4.17,45264.88919667591,139337.70628411276,115712.5
45047,979,5.2,3.85,49331.01173020528,306116.7950916927,374904.1667
5403,6079,9.7,4.45,52524.777853725216,153135.1751069655,128595.8333
3083,1485,9.4,4.45,56363.02211302211,322325.6680013501,386667.375
2052,6237,6.9,4.45,66319.49258283655,247835.29946545925,251975.0
20125,3226,5.9,3.98,40631.06796116505,118265.1542600722,115941.7083
3615,5648,10.5,4.45,43653.40989649794,198350.88928639263,243466.6667
9435,5209,5.3,3.66,90819.83805668015,444489.69810800254,430231.6667
56457,2035,6.0,3.65,55105.01750291715,310129.5582144315,355727.3333
41950,2954,2.7,3.85,73170.04504504504,287297.6454253749,279222.2222
8672,1456,8.0,3.66,36772.70577105014,245845.56620620124,296766.6667
30849,7381,6.4,4.17,55616.63479923519,156578.1363709091,152554.1667
3208,1258,10.9,4.45,54208.1088548142,187073.12625614015,133412.5
15526,215,9.1,3.66,71238.71614844534,314302.8982154,306675.0
48559,5564,3.5,3.65,62549.358341559724,266696.952434593,264045.4167
53553,4504,6.0,3.65,101953.70370370374,648540.7157098771,627383.3333
22213,3793,10.5,3.98,42582.52818035427,90990.49988394268,81508.33333
8083,9249,5.8,3.66,61702.89855072464,229670.98317089785,221425.0
